CATCHER_ID,GAME_YEAR,Opportunities,Actual_Called_Strikes,Called_Strikes_Added,Called_Strikes_Added_Per_100
1982,2022,3872,1207,-4,-0.097
1982,2023,1057,337,7,0.649
1999,2021,2724,883,23,0.828
1999,2022,1008,304,-16,-1.607
2002,2021,8021,2455,-22,-0.273
2002,2022,325,116,15,4.51
2013,2022,12,5,1,11.403
2013,2023,3531,1013,-37,-1.037
2033,2021,2692,814,-20,-0.742
2033,2022,210,77,11,5.424
2037,2022,113,46,10,8.495
2038,2021,4616,1478,16,0.346
2038,2022,5665,1752,-30,-0.532
2038,2023,3802,1204,10,0.258
2074,2022,1682,579,13,0.799
2074,2023,2065,713,20,0.983
2082,2021,7881,2441,4,0.049
2082,2022,6686,2045,-35,-0.527
2082,2023,2607,832,31,1.197
2087,2021,3870,1199,18,0.457
2087,2022,414,107,-20,-4.825
2087,2023,128,37,-5,-3.625
2088,2021,1323,424,9,0.657
2088,2022,1549,473,-12,-0.756
2115,2021,4764,1454,-17,-0.348
2115,2022,5132,1538,-49,-0.958
2115,2023,4230,1357,60,1.429
2117,2021,347,116,6,1.761
2117,2022,58,14,-4,-6.811
2117,2023,354,110,0,-0.115
2120,2021,7988,2485,3,0.04
2120,2022,7453,2351,9,0.125
2120,2023,5441,1721,-5,-0.093
2132,2021,3177,968,14,0.448
2132,2022,1598,443,-39,-2.47
2138,2021,9510,3048,-16,-0.173
2138,2022,7425,2396,26,0.348
2138,2023,6530,2074,-2,-0.026
2169,2021,1054,308,-17,-1.568
2203,2021,3063,950,-15,-0.482
2203,2022,1449,458,5,0.332
2203,2023,317,114,15,4.61
2208,2022,5274,1567,-25,-0.475
2208,2023,616,193,8,1.325
2225,2021,9006,2843,-37,-0.416
2225,2022,5381,1791,57,1.051
2227,2023,6268,2213,46,0.741
2234,2021,14,5,0,3.223
2234,2022,11,2,-1,-12.353
2244,2021,4509,1323,-28,-0.629
2244,2022,646,194,-3,-0.505
2244,2023,135,45,4,2.671
2248,2022,306,81,-15,-4.78
2253,2021,2060,669,14,0.699
2266,2021,24,9,2,7.73
2283,2021,413,119,-7,-1.653
2313,2021,538,184,14,2.603
2313,2022,48,15,-1,-2.648
2339,2021,3985,1350,56,1.415
2339,2022,3319,1111,26,0.776
2339,2023,2146,643,-61,-2.839
2378,2022,3930,1244,19,0.487
2378,2023,4198,1319,-13,-0.311
2447,2022,12,5,1,11.324
2447,2023,372,126,6,1.577
2448,2022,531,168,0,0.031
2448,2023,17,3,-2,-14.462
2457,2023,3376,1153,31,0.923
2461,2022,8,1,-2,-18.804
2463,2021,6790,2110,16,0.241
2463,2022,5060,1609,33,0.647
2463,2023,7150,2173,-52,-0.733
2479,2021,2160,625,-33,-1.543
2479,2022,3184,993,14,0.44
2479,2023,3032,929,5,0.158
2504,2021,3585,1038,-77,-2.147
2504,2022,6031,1883,13,0.222
2504,2023,5077,1646,67,1.328
2511,2021,709,237,12,1.69
2511,2022,702,230,4,0.547
2511,2023,2835,902,-2,-0.073
2553,2022,171,55,2,1.076
2553,2023,4400,1357,-3,-0.065
2554,2021,6221,2021,60,0.957
2554,2022,6846,2101,-57,-0.827
